ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Visual	BSCMR008	BSCMR015	-0.148969	v1001	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR015	-0.224965	v1001	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR015	0.623352	v1001	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR015	0.513459	v1001	B	B	B_B	horror
Limbic	BSCMR008	BSCMR015	-0.348954	v1001	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR015	0.27236	v1001	B	B	B_B	horror
Default	BSCMR008	BSCMR015	-0.677631	v1001	B	B	B_B	horror
Visual	BSCMR008	BSCMR015	0.270985	v1002	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR015	0.174025	v1002	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR015	-0.229667	v1002	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR015	0.334738	v1002	B	B	B_B	horror
Limbic	BSCMR008	BSCMR015	-0.0396703	v1002	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR015	-0.282046	v1002	B	B	B_B	horror
Default	BSCMR008	BSCMR015	0.362703	v1002	B	B	B_B	horror
Visual	BSCMR008	BSCMR015	0.595193	v1006	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR015	0.178695	v1006	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR015	0.110515	v1006	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR015	0.16643	v1006	B	B	B_B	horror
Limbic	BSCMR008	BSCMR015	-0.0681517	v1006	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR015	0.0791153	v1006	B	B	B_B	horror
Default	BSCMR008	BSCMR015	-0.161102	v1006	B	B	B_B	horror
Visual	BSCMR008	BSCMR015	0.0995398	v1007	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR015	0.227106	v1007	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR015	0.423817	v1007	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR015	-0.192042	v1007	B	B	B_B	horror
Limbic	BSCMR008	BSCMR015	0.264742	v1007	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR015	0.153397	v1007	B	B	B_B	horror
Default	BSCMR008	BSCMR015	-0.0546989	v1007	B	B	B_B	horror
Visual	BSCMR008	BSCMR015	0.270448	v2000	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR015	0.304515	v2000	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR015	-0.00171786	v2000	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR015	-0.269334	v2000	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR015	-0.444752	v2000	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR015	-0.262078	v2000	B	B	B_B	erotic
Default	BSCMR008	BSCMR015	-0.472963	v2000	B	B	B_B	erotic
Visual	BSCMR008	BSCMR015	-0.337576	v2002	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR015	-0.706354	v2002	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR015	0.199597	v2002	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR015	0.201446	v2002	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR015	0.371387	v2002	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR015	-0.233341	v2002	B	B	B_B	erotic
Default	BSCMR008	BSCMR015	0.558758	v2002	B	B	B_B	erotic
Visual	BSCMR008	BSCMR015	-0.163306	v2003	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR015	-0.36027	v2003	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR015	-0.00392553	v2003	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR015	-0.560195	v2003	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR015	0.244346	v2003	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR015	-0.30381	v2003	B	B	B_B	erotic
Default	BSCMR008	BSCMR015	0.0424445	v2003	B	B	B_B	erotic
Visual	BSCMR008	BSCMR015	0.475437	v2009	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR015	0.240667	v2009	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR015	0.690057	v2009	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR015	-0.122968	v2009	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR015	-0.165344	v2009	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR015	0.557962	v2009	B	B	B_B	erotic
Default	BSCMR008	BSCMR015	-0.214359	v2009	B	B	B_B	erotic
Visual	BSCMR008	BSCMR015	0.209586	v5000	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	-0.570641	v5000	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	-0.26304	v5000	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	-0.290148	v5000	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	0.307367	v5000	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.2508	v5000	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	-0.0579652	v5000	B	B	B_B	neutral
Visual	BSCMR008	BSCMR015	0.249901	v5001	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	-0.147451	v5001	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	-0.335659	v5001	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	-0.605008	v5001	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	0.0962179	v5001	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.327165	v5001	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	-0.391694	v5001	B	B	B_B	neutral
Visual	BSCMR008	BSCMR015	-0.6952	v5002	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	0.627981	v5002	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	-0.395711	v5002	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	0.368133	v5002	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	-0.0847625	v5002	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR015	-0.356501	v5002	B	B	B_B	neutral
Default	BSCMR008	BSCMR015	-0.217834	v5002	B	B	B_B	neutral
Visual	BSCMR008	BSCMR015	0.297233	v5008	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR015	0.383001	v5008	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR015	0.034031	v5008	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR015	0.347805	v5008	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR015	0.177569	v5008	B	B	B_B	neutral
